chrom_5p	bkpos_5p	strand_5p	chrom_3p	bkpos_3p	strand_3p	avg_cn
chr1	1722565	+	chr1	1722565	-	20
chr1	1749605	+	chr1	1749605	-	24

Group:5 Translocation:False
chr1	1929384	+	chr1	1929384	-	10
chr1	1929413	+	chr1	1929413	-	10
chr1	1981763	+	chr1	1981763	-	26
chr1	1993704	+	chr1	1993704	-	29
chr1	1948942	+	chr1	1948942	-	20
chr1	2019220	+	chr1	2019220	-	19
chr1	1981875	+	chr1	1981875	-	26
chr1	2085726	+	chr1	2085726	-	29
chr1	2106665	+	chr1	2106665	-	23
chr1	2121519	+	chr1	2121519	-	17
chr1	2123444	+	chr1	2123444	-	16
chr1	2121667	+	chr1	2121667	-	16

Group:6 Translocation:False
chr1	2281445	+	chr1	2281445	-	22
chr1	2281917	+	chr1	2281917	-	22
chr1	2325162	+	chr1	2325162	-	4
chr1	2325140	+	chr1	2325140	-	5
chr1	2331988	+	chr1	2331988	-	26
chr1	2401341	+	chr1	2401341	-	23
chr1	2393034	+	chr1	2393034	-	29
chr1	2401412	+	chr1	2401412	-	23
chr1	2440389	+	chr1	2440389	-	22
chr1	2522791	+	chr1	2522791	-	36
chr1	2602164	+	chr1	2602164	-	26
chr1	2652119	+	chr1	2652119	-	20
chr1	2667642	+	chr1	2667642	-	55
chr1	2663026	+	chr1	2663026	-	45
chr1	2761906	+	chr1	2761906	-	14
chr1	2767460	+	chr1	2767460	-	16
chr1	2849464	+	chr1	2849464	-	32
chr1	2859559	+	chr1	2859559	-	23
chr1	2820309	+	chr1	2820309	-	31
chr1	2859624	+	chr1	2859624	-	23
chr1	2849496	+	chr1	2849496	-	32
chr1	2877543	+	chr1	2877543	-	26

Group:7 Translocation:False
chr1	3016685	+	chr1	3016685	-	23
chr1	3026038	+	chr1	3026038	-	23
chr1	3104581	+	chr1	3104581	-	21
chr1	3037784	+	chr1	3037784	-	26
chr1	3111466	+	chr1	3111466	-	20
chr1	3162856	+	chr1	3162856	-	25
chr1	3212589	+	chr1	3212589	-	36
chr1	3255852	+	chr1	3255852	-	38
chr1	3215405	+	chr1	3215405	-	34
chr1	3260742	+	chr1	3260742	-	30
chr1	3351524	+	chr1	3351524	-	23
chr1	3450454	+	chr1	3450454	-	23
chr1	3477301	+	chr1	3477301	-	11
chr1	3502017	+	chr1	3502017	-	19
chr1	3477303	+	chr1	3477303	-	11
chr1	3502044	+	chr1	3502044	-	19
chr1	3587912	+	chr1	3587912	-	18
chr1	3587870	+	chr1	3587870	-	18

Group:8 Translocation:False
chr1	3706495	+	chr1	3706495	-	27

Group:9 Translocation:False
chr1	3868664	+	chr1	3868664	-	33

Group:10 Translocation:False
chr1	3973650	+	chr1	3973650	-	27
chr1	4016939	+	chr1	4016939	-	22
chr1	4016953	+	chr1	4016953	-	22
chr1	4078064	+	chr1	4078064	-	19
chr1	4136722	+	chr1	4136722	-	33
chr1	4162720	+	chr1	4162720	-	22
chr1	4144628	+	chr1	4144628	-	31

Group:11 Translocation:False
chr1	4274197	+	chr1	4274197	-	23
chr1	4336501	+	chr1	4336501	-	21

Group:12 Translocation:False
chr1	4508573	+	chr1	4508573	-	31
chr1	4508883	+	chr1	4508883	-	30
chr1	4583042	+	chr1	4583042	-	30

Group:13 Translocation:False
chr1	4729590	+	chr1	4729590	-	16
chr1	4740376	+	chr1	4740376	-	18

Group:14 Translocation:False
chr1	4885577	+	chr1	4885577	-	31
chr1	4939476	+	chr1	4939476	-	21
chr1	4969196	+	chr1	4969196	-	31

Group:15 Translocation:True
chr1	5112425	+	chr1	5112425	-	20
chr1	5137418	+	chr1	5137418	-	21
chr1	5160273	+	chr1	5160273	-	21
chr1	5225280	+	chr1	5225280	-	36
chr1	5246615	+	chr1	5246615	-	30
chr1	5333985	+	chr1	5333985	-	30
chr1	5387169	+	chr1	5387169	-	26
chr1	5407113	+	chr3	103745024	-	43
chr3	103745024	+	chr1	5407113	-	25
chr1	5404901	+	chr1	5404901	-	45
chr1	5414227	+	chr1	5414227	-	44

Group:16 Translocation:False
chr1	5701766	+	chr1	5701766	-	23

Group:17 Translocation:False
chr1	5802854	+	chr1	5802854	-	21
chr1	5811400	+	chr1	5811400	-	24
chr1	5829844	+	chr1	5829844	-	33
chr1	5817460	+	chr1	5817460	-	23
chr1	5832302	+	chr1	5832302	-	28

Group:18 Translocation:False
chr1	5977904	+	chr1	5977904	-	9
chr1	6005124	+	chr1	6005124	-	18
chr1	6025839	+	chr1	6025839	-	32
chr1	6005349	+	chr1	6005349	-	15
chr1	6107548	+	chr1	6107548	-	22
chr1	6160300	+	chr1	6160300	-	16

Group:19 Translocation:False
chr1	6308792	+	chr1	6308792	-	29

Group:20 Translocation:False
chr1	6715539	+	chr1	6715539	-	18
chr1	6742557	+	chr1	6742557	-	23

Group:21 Translocation:False
chr1	6897473	+	chr1	6897473	-	30
chr1	6937556	+	chr1	6937556	-	23
chr1	6940913	+	chr1	6940913	-	18
chr1	6940912	+	chr1	6940912	-	18
chr1	6984090	+	chr1	6984090	-	24

Group:22 Translocation:False
chr1	7114745	+	chr1	7114745	-	30

Group:23 Translocation:False
chr1	7335140	+	chr1	7335140	-	27

Group:24 Translocation:False
chr1	7520219	+	chr1	7520219	-	15

Group:25 Translocation:True
chr1	7634864	-	chr13	83727023	-	24
chr13	83727023	+	chr1	7634864	+	35

Group:26 Translocation:False
chr1	7856597	+	chr1	7856597	-	29
chr1	7891564	+	chr1	7891564	-	36
chr1	7906430	+	chr1	7906430	-	22

Group:27 Translocation:False
chr1	8026946	+	chr1	8026946	-	23

Group:28 Translocation:False
chr1	8276902	+	chr1	8276902	-	21
chr1	8322307	+	chr1	8322307	-	18
chr1	8331364	+	chr1	8331364	-	24
chr1	8372507	+	chr1	8372507	-	32
chr1	8331247	+	chr1	8331247	-	24
chr1	8386567	+	chr1	8386567	-	25
chr1	8344892	+	chr1	8344892	-	20

Group:29 Translocation:False
chr1	8501400	+	chr1	8501400	-	30
chr1	8502129	+	chr1	8502129	-	28

Group:30 Translocation:False
chr1	8984257	+	chr1	8984257	-	30
chr1	9053427	+	chr1	9053427	-	27
chr1	9061386	+	chr1	9061386	-	23
chr1	9053455	+	chr1	9053455	-	27
chr1	9116182	+	chr1	9116182	-	37
chr1	9077754	+	chr1	9077754	-	21
chr1	9154217	+	chr1	9154217	-	35
chr1	9129265	+	chr1	9129265	-	27
chr1	9170365	+	chr1	9170365	-	34

Group:31 Translocation:False
chr1	9282528	+	chr1	9282528	-	34

Group:32 Translocation:False
chr1	9512309	+	chr1	9512309	-	30
chr1	9564765	+	chr1	9564765	-	22
chr1	9623988	+	chr1	9623988	-	16

Group:33 Translocation:False
chr1	9810141	+	chr1	9810141	-	39

Group:34 Translocation:False
chr1	9968551	+	chr1	9968551	-	22

Group:35 Translocation:False
chr1	10187625	+	chr1	10187625	-	20
chr1	10188108	+	chr1	10188108	-	20

Group:36 Translocation:False
chr1	10817940	+	chr1	10817940	-	23

Group:37 Translocation:False
chr1	10971075	+	chr1	10971075	-	9
chr1	11041736	+	chr1	11041736	-	26

Group:38 Translocation:False
chr1	11264863	+	chr1	11264863	-	30

Group:39 Translocation:False
chr1	11373881	+	chr1	11373881	-	12
chr1	11431747	+	chr1	11431747	-	34
chr1	11465195	+	chr1	11465195	-	30
chr1	11445742	+	chr1	11445742	-	29

Group:40 Translocation:False
chr1	11772904	+	chr1	11772904	-	27

Group:41 Translocation:False
chr1	11882728	+	chr1	11882728	-	27

Group:42 Translocation:False
chr1	12174160	+	chr1	12174160	-	16

Group:43 Translocation:False
chr1	12381922	+	chr1	12381922	-	22

Group:44 Translocation:False
chr1	12762156	+	chr1	12762156	-	22
chr1	12789325	+	chr1	12789325	-	9
chr1	12847056	+	chr1	12847056	-	10
chr1	12829732	+	chr1	12829732	-	9
chr1	12867819	+	chr1	12867819	-	34

Group:45 Translocation:False
chr1	13110585	+	chr1	13110585	-	35

Group:46 Translocation:False
chr1	13286168	+	chr1	13286168	-	11
chr1	13327515	+	chr1	13327515	-	11
chr1	13361096	+	chr1	13361096	-	16
chr1	13363251	+	chr1	13363251	-	20
chr1	13349202	+	chr1	13349202	-	9
chr1	13395018	+	chr1	13395018	-	37
chr1	13362773	+	chr1	13362773	-	20
chr1	13470159	+	chr1	13470159	-	24
chr1	13522113	+	chr1	13522113	-	24
chr1	13588980	+	chr1	13588980	-	23

Group:47 Translocation:False
chr1	13869971	+	chr1	13869971	-	36

Group:48 Translocation:False
chr1	13981101	+	chr1	13981101	-	36

Group:49 Translocation:False
chr1	14119923	+	chr1	14119923	-	37

Group:50 Translocation:False
chr1	14492665	+	chr1	14492665	-	15
chr1	14492719	+	chr1	14492719	-	15
chr1	14514406	+	chr1	14514406	-	20
chr1	14492719	+	chr1	14492719	-	15

Group:51 Translocation:False
chr1	14652506	+	chr1	14652506	-	21

Group:52 Translocation:False
chr1	14883318	+	chr1	14883318	-	43

Group:53 Translocation:False
chr1	15036278	+	chr1	15036278	-	36
chr1	15101164	+	chr1	15101164	-	29

Group:54 Translocation:False
chr1	15206627	+	chr1	15206627	-	37
chr1	15225218	+	chr1	15225218	-	28
chr1	15314646	+	chr1	15314646	-	27
chr1	15388335	+	chr1	15388335	-	31

Group:55 Translocation:False
chr1	16050023	+	chr1	16050023	-	17
chr1	16089599	+	chr1	16089599	-	23

Group:56 Translocation:True
chr1	16192798	+	chr1	16192798	-	35
chr1	16246352	-	chr4	100522042	+	13
chr4	100522042	-	chr1	16246352	+	30

Group:57 Translocation:False
chr1	16424205	+	chr1	16424205	-	37

Group:58 Translocation:False
chr1	16537355	+	chr1	16537355	-	35
chr1	16565784	+	chr1	16565784	-	43
chr1	16595716	+	chr1	16595716	-	144
chr1	16680844	-	chr1	146052350	+	67
chr1	146052350	-	chr1	16680844	+	65
chr1	16725242	-	chr1	234776446	+	97
chr1	234776446	-	chr1	16725242	+	64
chr1	234838165	+	chr1	234838165	-	27

Group:59 Translocation:False
chr1	16868224	+	chr1	16868224	-	55
chr1	16905399	+	chr1	16905399	-	41
chr1	16916183	+	chr1	16916183	-	48

Group:60 Translocation:False
chr1	17166218	+	chr1	17166218	-	20
chr1	17166218	+	chr1	17166218	-	20
chr1	17248636	+	chr1	17248636	-	22
chr1	17289303	+	chr1	17289303	-	25
chr1	17292895	+	chr1	17292895	-	30
chr1	17367488	+	chr1	17367488	-	29
chr1	17431358	+	chr1	17431358	-	42
chr1	17437673	+	chr1	17437673	-	39

Group:61 Translocation:False
chr1	17689481	+	chr1	17689481	-	12
chr1	17768315	+	chr1	17768315	-	22
chr1	17859665	+	chr1	17859665	-	28
chr1	17868629	+	chr1	17868629	-	28

Group:62 Translocation:False
chr1	18049639	+	chr1	18049639	-	17
chr1	18049836	+	chr1	18049836	-	24

Group:63 Translocation:False
chr1	18744453	+	chr1	18744453	-	31
chr1	18816497	+	chr1	18816497	-	38
chr1	18876661	+	chr1	18876661	-	35

Group:64 Translocation:False
chr1	18981925	+	chr1	18981925	-	34
chr1	19061309	+	chr1	19061309	-	27
chr1	19061417	+	chr1	19061417	-	24

Group:65 Translocation:False
chr1	19872726	+	chr1	19872726	-	32
chr1	19930600	+	chr1	19930600	-	28
chr1	19932928	+	chr1	19932928	-	27

Group:66 Translocation:False
chr1	20382468	+	chr1	20382468	-	20
chr1	20463539	+	chr1	20463539	-	23

Group:67 Translocation:False
chr1	20623746	+	chr1	20623746	-	26
chr1	20712678	+	chr1	20712678	-	32
chr1	20712841	+	chr1	20712841	-	31
chr1	20796812	+	chr1	20796812	-	31
chr1	20841857	+	chr1	20841857	-	34

Group:68 Translocation:False
chr1	20989081	+	chr1	20989081	-	30

Group:69 Translocation:False
chr1	21149406	+	chr1	21149406	-	24
chr1	21166107	+	chr1	21166107	-	21
chr1	21180062	+	chr1	21180062	-	26
chr1	21179788	+	chr1	21179788	-	25
chr1	21191036	+	chr1	21191036	-	33

Group:70 Translocation:False
chr1	21418529	+	chr1	21418529	-	30

Group:71 Translocation:False
chr1	21552105	+	chr1	21552105	-	17

Group:72 Translocation:False
chr1	21660343	+	chr1	21660343	-	25
chr1	21694471	+	chr1	21694471	-	30

Group:73 Translocation:False
chr1	22370177	+	chr1	22370177	-	34
chr1	22433432	+	chr1	22433432	-	23

Group:74 Translocation:False
chr1	22577990	+	chr1	22577990	-	23
chr1	22599874	+	chr1	22599874	-	31

Group:75 Translocation:False
chr1	22754856	+	chr1	22754856	-	19
chr1	22754933	+	chr1	22754933	-	17

Group:76 Translocation:False
chr1	22950447	+	chr1	22950447	-	27

Group:77 Translocation:False
chr1	23277272	+	chr1	23277272	-	15

Group:78 Translocation:False
chr1	23392445	+	chr1	23392445	-	28
chr1	23392445	+	chr1	23392445	-	28

Group:79 Translocation:False
chr1	23495229	+	chr1	23495229	-	33
chr1	23504413	+	chr1	23504413	-	36
chr1	23531350	+	chr1	23531350	-	25

Group:80 Translocation:False
chr1	23703656	+	chr1	23703656	-	35

Group:81 Translocation:False
chr1	23837484	+	chr1	23837484	-	24
chr1	23884345	+	chr1	23884345	-	30
chr1	23899946	+	chr1	23899946	-	30
chr1	23899941	+	chr1	23899941	-	31

Group:82 Translocation:False
chr1	24010984	+	chr1	24010984	-	33
chr1	24011012	+	chr1	24011012	-	33
chr1	24067343	+	chr1	24067343	-	45
chr1	24113278	+	chr1	24113278	-	26
chr1	24212025	+	chr1	24212025	-	23

Group:83 Translocation:False
chr1	24345076	+	chr1	24345076	-	26

Group:84 Translocation:False
chr1	24614774	+	chr1	24614774	-	19
chr1	24640517	+	chr1	24640517	-	25
chr1	24704789	+	chr1	24704789	-	23
chr1	24730364	+	chr1	24730364	-	20

Group:85 Translocation:False
chr1	25002064	+	chr1	25002064	-	28
chr1	25044971	+	chr1	25044971	-	24
chr1	25054265	+	chr1	25054265	-	25
chr1	25044975	+	chr1	25044975	-	24
chr1	25111832	+	chr1	25111832	-	19
chr1	25108872	+	chr1	25108872	-	20

Group:86 Translocation:False
chr1	25529499	+	chr1	25529499	-	22

Group:87 Translocation:False
chr1	25768267	+	chr1	25768267	-	37

Group:88 Translocation:False
chr1	26399819	+	chr1	26399819	-	15

Group:89 Translocation:False
chr1	26639318	+	chr1	26639318	-	29
chr1	26649257	+	chr1	26649257	-	14

Group:90 Translocation:False
chr1	27030486	+	chr1	27030486	-	25
chr1	27086495	+	chr1	27086495	-	13
chr1	27107220	+	chr1	27107220	-	26

Group:91 Translocation:False
chr1	27487511	+	chr1	27487511	-	31

Group:92 Translocation:False
chr1	27652840	+	chr1	27652840	-	27

Group:93 Translocation:False
chr1	27878460	+	chr1	27878460	-	12

Group:94 Translocation:False
chr1	28073127	+	chr1	28073127	-	23

Group:95 Translocation:False
chr1	28745723	+	chr1	28745723	-	23

Group:96 Translocation:False
chr1	28935467	+	chr1	28935467	-	17
chr1	28994949	+	chr1	28994949	-	30
chr1	29055652	+	chr1	29055652	-	20

Group:97 Translocation:False
chr1	29453801	+	chr1	29453801	-	31
chr1	29518740	+	chr1	29518740	-	22
chr1	29553848	+	chr1	29553848	-	6
chr1	29554795	+	chr1	29554795	-	29

Group:98 Translocation:False
chr1	29687741	+	chr1	29687741	-	32
chr1	29707546	+	chr1	29707546	-	13
chr1	29770635	+	chr1	29770635	-	30
chr1	29723864	+	chr1	29723864	-	20
chr1	29771311	+	chr1	29771311	-	31

Group:99 Translocation:False
chr1	30096601	+	chr1	30096601	-	34

Group:100 Translocation:False
chr1	30301389	+	chr1	30301389	-	21
chr1	30365604	+	chr1	30365604	-	22
chr1	30405669	+	chr1	30405669	-	10
chr1	30405966	+	chr1	30405966	-	16
chr1	30488830	+	chr1	30488830	-	33
chr1	30488738	+	chr1	30488738	-	33
chr1	30507726	+	chr1	30507726	-	37
chr1	30519695	+	chr1	30519695	-	43
chr1	30617660	+	chr1	30617660	-	35
chr1	30651753	+	chr1	30651753	-	48
chr1	30655311	+	chr1	30655311	-	51
chr1	30732368	+	chr1	30732368	-	20

Group:101 Translocation:False
chr1	30972340	+	chr1	30972340	-	27

Group:102 Translocation:False
chr1	31206237	+	chr1	31206237	-	25
chr1	31252016	+	chr1	31252016	-	27
chr1	31345546	+	chr1	31345546	-	25

Group:103 Translocation:False
chr1	31495080	+	chr1	31495080	-	20

Group:104 Translocation:False
chr1	31704389	+	chr1	31704389	-	24
chr1	31728803	+	chr1	31728803	-	26
chr1	31807391	+	chr1	31807391	-	26

Group:105 Translocation:False
chr1	32266715	+	chr1	32266715	-	26

Group:106 Translocation:True
chr1	32437809	+	chr5	7262513	+	28
chr5	7262513	-	chr1	32437809	-	51

Group:107 Translocation:False
chr1	32539740	+	chr1	32539740	-	25
chr1	32581182	+	chr1	32581182	-	22
chr1	32642777	+	chr1	32642777	-	33

Group:108 Translocation:False
chr1	33052507	+	chr1	33052507	-	31

Group:109 Translocation:False
chr1	33186817	+	chr1	33186817	-	15
chr1	33189709	+	chr1	33189709	-	26

Group:110 Translocation:False
chr1	33356276	+	chr1	33356276	-	19
chr1	33393724	+	chr1	33393724	-	24

Group:111 Translocation:False
chr1	33864929	+	chr1	33864929	-	23
chr1	33938387	+	chr1	33938387	-	41

Group:112 Translocation:False
chr1	34219840	+	chr1	34219840	-	26

Group:113 Translocation:False
chr1	34541466	+	chr1	34541466	-	25

Group:114 Translocation:False
chr1	34906016	+	chr1	34906016	-	34

Group:115 Translocation:False
chr1	36009078	+	chr1	36009078	-	22

Group:116 Translocation:False
chr1	36210726	+	chr1	36210726	-	23

Group:117 Translocation:False
chr1	36313972	+	chr1	36313972	-	26
chr1	36402889	+	chr1	36402889	-	21
chr1	36496676	+	chr1	36496676	-	30
chr1	36545088	+	chr1	36545088	-	35

Group:118 Translocation:False
chr1	36688490	+	chr1	36688490	-	25
chr1	36750200	+	chr1	36750200	-	27
chr1	36793823	+	chr1	36793823	-	35

Group:119 Translocation:False
chr1	36957454	+	chr1	36957454	-	27

Group:120 Translocation:False
chr1	37102961	+	chr1	37102961	-	13

Group:121 Translocation:False
chr1	37295836	+	chr1	37295836	-	32

Group:122 Translocation:False
chr1	37446180	+	chr1	37446180	-	18

Group:123 Translocation:False
chr1	37775710	+	chr1	37775710	-	25

Group:124 Translocation:False
chr1	37967099	+	chr1	37967099	-	22

Group:125 Translocation:False
chr1	38482952	+	chr1	38482952	-	27
chr1	38485067	+	chr1	38485067	-	29

Group:126 Translocation:False
chr1	38596260	+	chr1	38596260	-	34

Group:127 Translocation:False
chr1	38729603	+	chr1	38729603	-	43

Group:128 Translocation:False
chr1	38945846	+	chr1	38945846	-	26
chr1	39044563	+	chr1	39044563	-	30

Group:129 Translocation:False
chr1	39211990	+	chr1	39211990	-	25
chr1	39234647	+	chr1	39234647	-	33

Group:130 Translocation:False
chr1	39511450	+	chr1	39511450	-	26
chr1	39601579	+	chr1	39601579	-	22
chr1	39664497	+	chr1	39664497	-	18
chr1	39664510	+	chr1	39664510	-	18

Group:131 Translocation:False
chr1	39796906	+	chr1	39796906	-	36
chr1	39808351	+	chr1	39808351	-	34

Group:132 Translocation:False
chr1	40050405	+	chr1	40050405	-	21

Group:133 Translocation:False
chr1	40318314	+	chr1	40318314	-	22
chr1	40395577	+	chr1	40395577	-	29
chr1	40469700	+	chr1	40469700	-	29

Group:134 Translocation:False
chr1	40889543	+	chr1	40889543	-	25
chr1	40919801	+	chr1	40919801	-	28

Group:135 Translocation:False
chr1	41053119	+	chr1	41053119	-	34

Group:136 Translocation:False
chr1	41327048	+	chr1	41327048	-	27
chr1	41369871	+	chr1	41369871	-	32
chr1	41425249	+	chr1	41425249	-	24
chr1	41382200	+	chr1	41382200	-	28
chr1	41426350	+	chr1	41426350	-	29
chr1	41516181	+	chr1	41516181	-	25
chr1	41544826	+	chr1	41544826	-	23
chr1	41561739	+	chr1	41561739	-	35
chr1	41544953	+	chr1	41544953	-	22

Group:137 Translocation:False
chr1	42110184	+	chr1	42110184	-	28

Group:138 Translocation:False
chr1	42324097	+	chr1	42324097	-	20
chr1	42367140	+	chr1	42367140	-	32

Group:139 Translocation:False
chr1	42476198	+	chr1	42476198	-	36
chr1	42535699	+	chr1	42535699	-	32
chr1	42557636	+	chr1	42557636	-	32
chr1	42546393	+	chr1	42546393	-	25
chr1	42564519	+	chr1	42564519	-	28

Group:140 Translocation:False
chr1	43743248	+	chr1	43743248	-	40

Group:141 Translocation:False
chr1	43904942	+	chr1	43904942	-	18
chr1	43906145	+	chr1	43906145	-	19

Group:142 Translocation:False
chr1	44099882	+	chr1	44099882	-	27
chr1	44139048	+	chr1	44139048	-	39

Group:143 Translocation:False
chr1	44468135	+	chr1	44468135	-	26

Group:144 Translocation:False
chr1	44613070	+	chr1	44613070	-	23

Group:145 Translocation:False
chr1	44738054	+	chr1	44738054	-	22
chr1	44794950	+	chr1	44794950	-	12
chr1	44797983	+	chr1	44797983	-	15
chr1	44795658	+	chr1	44795658	-	14
chr1	44876573	+	chr1	44876573	-	25
chr1	44942418	+	chr1	44942418	-	32

Group:146 Translocation:False
chr1	45044764	+	chr1	45044764	-	24

Group:147 Translocation:False
chr1	45223069	+	chr1	45223069	-	32

Group:148 Translocation:False
chr1	45330022	+	chr1	45330022	-	26

Group:149 Translocation:False
chr1	45497643	+	chr1	45497643	-	28
chr1	45497673	+	chr1	45497673	-	28
chr1	45539019	+	chr1	45539019	-	29
chr1	45497779	+	chr1	45497779	-	28
chr1	45637522	+	chr1	45637522	-	29
chr1	45691874	+	chr1	45691874	-	32
chr1	45735780	+	chr1	45735780	-	29
chr1	45703341	+	chr1	45703341	-	22
chr1	45760507	+	chr1	45760507	-	29

Group:150 Translocation:False
chr1	45883912	+	chr1	45883912	-	22

Group:151 Translocation:False
chr1	46182304	+	chr1	46182304	-	20
chr1	46213358	+	chr1	46213358	-	26

Group:152 Translocation:False
chr1	46564044	+	chr1	46564044	-	38

Group:153 Translocation:False
chr1	46867720	+	chr1	46867720	-	34

Group:154 Translocation:False
chr1	47179107	+	chr1	47179107	-	27
chr1	47184459	+	chr1	47184459	-	28

Group:155 Translocation:False
chr1	47592605	+	chr1	47592605	-	23

Group:156 Translocation:False
chr1	47722143	+	chr1	47722143	-	29
chr1	47743225	+	chr1	47743225	-	32

Group:157 Translocation:False
chr1	47863372	+	chr1	47863372	-	26

Group:158 Translocation:False
chr1	48483303	+	chr1	48483303	-	26
chr1	48484054	+	chr1	48484054	-	27

Group:159 Translocation:False
chr1	48846404	+	chr1	48846404	-	31
chr1	48892005	+	chr1	48892005	-	23
chr1	48926244	+	chr1	48926244	-	23

Group:160 Translocation:False
chr1	49680370	+	chr1	49680370	-	36

Group:161 Translocation:False
chr1	49948006	+	chr1	49948006	-	22

Group:162 Translocation:False
chr1	50369313	+	chr1	50369313	-	21
chr1	50382013	+	chr1	50382013	-	32

Group:163 Translocation:False
chr1	50592255	+	chr1	50592255	-	32

Group:164 Translocation:False
chr1	51711466	+	chr1	51711466	-	21
chr1	51804489	+	chr1	51804489	-	35
chr1	51852550	+	chr1	51852550	-	23
chr1	51906869	+	chr1	51906869	-	9
chr1	51967514	+	chr1	51967514	-	23

Group:165 Translocation:False
chr1	52797172	+	chr1	52797172	-	31
chr1	52797468	+	chr1	52797468	-	31
chr1	52856643	+	chr1	52856643	-	22

Group:166 Translocation:False
chr1	53099236	+	chr1	53099236	-	23
chr1	53173411	+	chr1	53173411	-	26

Group:167 Translocation:False
chr1	53283498	+	chr1	53283498	-	29
chr1	53311902	+	chr1	53311902	-	24
chr1	53350252	+	chr1	53350252	-	34

Group:168 Translocation:False
chr1	53525463	+	chr1	53525463	-	23
chr1	53556567	+	chr1	53556567	-	24

Group:169 Translocation:False
chr1	53709410	+	chr1	53709410	-	19
chr1	53713317	+	chr1	53713317	-	23

Group:170 Translocation:False
chr1	54133909	+	chr1	54133909	-	20
chr1	54137683	+	chr1	54137683	-	18

Group:171 Translocation:False
chr1	54298954	+	chr1	54298954	-	31
chr1	54369699	+	chr1	54369699	-	25

Group:172 Translocation:False
chr1	54577557	+	chr1	54577557	-	24
chr1	54625174	+	chr1	54625174	-	25
chr1	54698795	+	chr1	54698795	-	23

Group:173 Translocation:False
chr1	54808984	+	chr1	54808984	-	24

Group:174 Translocation:False
chr1	55003042	+	chr1	55003042	-	24

Group:175 Translocation:False
chr1	55240234	+	chr1	55240234	-	19
chr1	55242937	+	chr1	55242937	-	29

Group:176 Translocation:False
chr1	55385702	+	chr1	55385702	-	20

Group:177 Translocation:False
chr1	55573944	+	chr1	55573944	-	27
chr1	55662635	+	chr1	55662635	-	26
chr1	55663125	+	chr1	55663125	-	28
chr1	55666329	+	chr1	55666329	-	13
chr1	55662702	+	chr1	55662702	-	27
chr1	55666329	+	chr1	55666329	-	11

Group:178 Translocation:False
chr1	55939713	+	chr1	55939713	-	29
